step,train_loss,val_loss,train_bpc,val_bpc
0,5.707480525970459,5.708175611495972,8.234153850787914,8.235156647228566
200,2.469011676311493,2.4579564452171327,3.562030901311538,3.5460815742358225
400,2.4298949599266053,2.4264583349227906,3.5055974085672,3.5006394067168016
600,2.417585027217865,2.4019914984703066,3.487837929694624,3.4653412231005616
800,2.369722270965576,2.3567987442016602,3.418786568606169,3.400141860633072
1000,2.2799925804138184,2.2708698511123657,3.289333989026647,3.2761726727040688
1200,2.1738885045051575,2.1544628500938416,3.136258164895116,3.1082328696098878
1400,2.0774595379829406,2.0537715196609496,2.9971405730954657,2.9629659865338422
1600,2.003983825445175,1.9873162925243377,2.8911375269914483,2.8670913599027026
1800,1.95007866024971,1.9302831709384918,2.8133688124856504,2.7848099582243853
2000,1.908024513721466,1.8870420575141906,2.752697503840535,2.722426218324629
2200,1.854448676109314,1.8372423112392426,2.675403908606011,2.650580371336233
2400,1.8187530875205993,1.8093005657196044,2.6239060599674593,2.6102689536412695
2600,1.7854769051074981,1.7753651916980744,2.575898676620362,2.561310557829696
2800,1.7658619105815887,1.7312198519706725,2.547600221290768,2.4976222951266145
3000,1.7327895283699035,1.7078438639640807,2.4998868594835857,2.4638978731536247
3200,1.7179951250553132,1.6920452833175659,2.478543047188715,2.4411053392018136
3400,1.6954578399658202,1.6642067730426788,2.446028617755003,2.4009428584824977
3600,1.6805645525455475,1.6461498260498046,2.424542145851241,2.374892190602283
3800,1.648736935853958,1.6336243093013763,2.3786246010869703,2.356821689704754
4000,1.6323552668094634,1.6101963579654694,2.3549908483949937,2.323022300494253
4200,1.6129132628440856,1.6086401164531707,2.3269419656891994,2.320777118582034
4400,1.613070261478424,1.5801040709018708,2.327168466840386,2.279608307178592
4600,1.5889436066150666,1.5724414110183715,2.2923610615157806,2.268553425764649
4800,1.5777754962444306,1.5584616541862488,2.2762488840679636,2.248384899910112
5000,1.5727837145328523,1.5622874677181244,2.269047265347469,2.2539043821199147
5200,1.5564068913459779,1.5472360014915467,2.24542050375025,2.2321897064367233
5400,1.5525181233882903,1.5297154426574706,2.239810197502526,2.2069128830931986
5600,1.5439706802368165,1.5268058955669404,2.2274788436556148,2.2027152939344576
5800,1.5340567708015442,1.5172907352447509,2.2131760956775253,2.1889878193243715
6000,1.5366249144077302,1.5120723366737365,2.2168811437224605,2.1814592615845867
6200,1.5135719001293182,1.5069935321807861,2.183622674345453,2.1741320955289627
6400,1.5225222826004028,1.5019084632396698,2.196535346750546,2.1667958917850356
6600,1.5025949895381927,1.494481635093689,2.1677863398713546,2.1560812436492944
6800,1.5027831077575684,1.4969794929027558,2.1680577370935485,2.159684890723281
7000,1.4920331597328187,1.4848241329193115,2.152548840388428,2.142148413154946
7200,1.4931732714176178,1.4802246689796448,2.154193673862147,2.135512789338441
7400,1.487607592344284,1.4700420558452607,2.146164096263869,2.1208223838661744
7600,1.4710164546966553,1.4730503797531127,2.1222281442569293,2.12516247784942
7800,1.4741009175777435,1.4618141233921051,2.1266780835592813,2.108951986519237
8000,1.4663675427436829,1.4614604651927947,2.1155211820368462,2.1084417655889225
8200,1.4622763037681579,1.45871542096138,2.109618771855765,2.1044815038892395
8400,1.4604215621948242,1.4602942764759064,2.1069429453857857,2.106759310910327
8600,1.4555800616741181,1.4562379479408265,2.099958136594102,2.100907265848551
8800,1.446488332748413,1.4468681931495666,2.0868415443598805,2.0873895670768547
9000,1.452275162935257,1.4474191427230836,2.0951901755729065,2.0881844192943473
9200,1.4425797283649444,1.4359038710594176,2.081202620199053,2.0715713939706872
9400,1.4352258145809174,1.441505914926529,2.0705931652517124,2.0796534348766116
9600,1.439048832654953,1.4382324874401093,2.0761086144683527,2.074930877275244
9800,1.431598949432373,1.4258602917194367,2.0653607048879348,2.057081571864122
10000,1.4352922856807708,1.4302943110466004,2.0706890627778334,2.063478509558627
10200,1.435607624053955,1.4281059563159944,2.0711439998850283,2.0603213810410757
10400,1.429766798019409,1.4242551743984222,2.062717469130294,2.0547658770650497
10600,1.4130868136882782,1.4238005220890044,2.0386533384536656,2.0541099524329236
10800,1.4113188862800599,1.4211567640304565,2.0361027583491773,2.0502958157925466
11000,1.4176109552383422,1.4167174696922302,2.045180295032223,2.043891267865741
11200,1.415849608182907,1.42331360578537,2.042639208370062,2.0534074806963423
11400,1.4093140542507172,1.404563742876053,2.0332103971226294,2.0263571464597225
11600,1.4165280163288116,1.4189482927322388,2.043617944437857,2.047109665202662
11800,1.4071055471897125,1.4141657650470734,2.0300241949379494,2.0402099362283597
12000,1.4100881516933441,1.4170406222343446,2.034327183664272,2.0443574784357
12200,1.4039504647254943,1.4086355984210968,2.0254723731132263,2.0322315922617737
12400,1.4052861154079437,1.4090740263462067,2.027399309729156,2.032864110055117
12600,1.4014111638069153,1.4081414103507996,2.0218089362706677,2.0315186295834895
12800,1.3933126986026765,1.4040730476379395,2.0101253206817002,2.0256492228731084
13000,1.3867935359477996,1.4036912500858307,2.000720157048761,2.0250984054380576
13200,1.3884181201457977,1.4010624885559082,2.003063936614719,2.021305904215159
13400,1.388377732038498,1.3965133845806121,2.0030056688926074,2.014742934469511
13600,1.380162888765335,1.4010301113128663,1.9911541552407348,2.0212591937271847
13800,1.3804263830184937,1.396119385957718,1.9915342970930698,2.0141745146101444
14000,1.3777438282966614,1.3979656219482421,1.987664188698969,2.016838070117984
14200,1.3770171701908112,1.3962175369262695,1.986615842653237,2.014316116525732
14400,1.3856595158576965,1.3891626596450806,1.9990841118885008,2.004138080058081
14600,1.37169468998909,1.3830407857894897,1.9789371268609843,1.9953060830056721
14800,1.3893771708011626,1.3862519800662993,2.0044475542391758,1.9999388570641563
15000,1.3696036159992218,1.3914096176624298,1.9759203447856695,2.007379755246796
15200,1.3670581340789796,1.388051563501358,1.9722479906426635,2.0025351071615813
15400,1.366588819026947,1.3838294684886931,1.9715709121444818,1.9964439116246477
15600,1.3644600331783294,1.3851457238197327,1.9684997233575665,1.998342866663282
15800,1.3667936325073242,1.3812038779258728,1.971866395536929,1.992655985140262
16000,1.3676967442035675,1.383363139629364,1.973169310302468,1.9957711412918702
16200,1.3585148215293885,1.3768793880939483,1.959922595994604,1.9864170651053696
16400,1.3659586548805236,1.3812504291534424,1.9706617774554904,1.9927231443654239
16600,1.3637287437915802,1.376600170135498,1.9674446957858485,1.9860142387413864
16800,1.356046324968338,1.3771999895572662,1.956361308247525,1.9868795952466003
17000,1.362085211277008,1.3775994241237641,1.9650735795775356,1.9874558575148464
17200,1.3498210072517396,1.3766241192817688,1.9473800732498303,1.9860487900559447
17400,1.3536098539829253,1.36938533782959,1.9528462236396003,1.9756054359528072
17600,1.3584920644760132,1.3754637718200684,1.9598897645065543,1.9843747625272414
17800,1.3385623812675476,1.3676079988479615,1.9311373093752129,1.9730412778180333
18000,1.344596701860428,1.3700091242790222,1.9398429937696955,1.976505369569977
18200,1.3457728981971742,1.3620410323143006,1.941539886391831,1.9650098428071259
18400,1.3422505497932433,1.3693077921867371,1.936458211817197,1.975493561238421
18600,1.346874862909317,1.3662724137306212,1.9431296854172742,1.9711144357925614
18800,1.3417098701000214,1.3665862560272217,1.9356781759050763,1.971567214517488
19000,1.3392907917499541,1.3678481817245483,1.9321881835659123,1.9733877884629913
19200,1.3391521275043488,1.3674105286598206,1.9319881333464288,1.972756388556879
19400,1.3296052157878875,1.365127283334732,1.9182148511572854,1.9694623618492408
19600,1.3447068870067596,1.3674001038074493,1.9400019573338878,1.9727413486740608
19800,1.337644064426422,1.3687997341156006,1.9298124582225562,1.9747605883787087
20000,1.333685529232025,1.3610106348991393,1.9241014991284153,1.963523293566128
20200,1.3267246425151824,1.3601187765598297,1.9140590623818365,1.9622366139628304
20400,1.3356153666973114,1.3583342790603639,1.9268856660693057,1.9596621282698723
20600,1.3324566960334778,1.3624281287193298,1.9223286675667914,1.9655683048710075
20800,1.3280033469200134,1.3507384419441224,1.9159038428854491,1.9487036517308705
21000,1.334951364994049,1.3643620312213898,1.9259277141048672,1.9683583364202921
21200,1.3273410558700562,1.3564741492271424,1.9149483588720506,1.9569785281840741
21400,1.3281585991382598,1.3546424388885498,1.9161278244908002,1.9543359287622417
21600,1.3309750258922577,1.358078521490097,1.9201910694018198,1.9592931480915785
21800,1.3335790932178497,1.358807247877121,1.9239479444185925,1.9603444780363029
22000,1.324832260608673,1.353319263458252,1.9113289323898475,1.9524269901307247
22200,1.3319589138031005,1.3479491353034974,1.9216105196115834,1.944679532872922
22400,1.325262039899826,1.3596180558204651,1.9119489728418706,1.961514226635279
22600,1.3196305692195893,1.3503770172595977,1.9038244780185816,1.948182226130852
22800,1.3219213306903839,1.36010884642601,1.9071293482323564,1.9622222878080136
23000,1.3208236932754516,1.343751984834671,1.9055457921771393,1.9386243247056816
23200,1.3153677940368653,1.3526189923286438,1.8976745934020411,1.9514167124447612
23400,1.3165714144706726,1.3588497698307038,1.8994110506330075,1.960405824247866
23600,1.3167462944984436,1.3499995708465575,1.8996633491818231,1.9476376860625575
23800,1.3154502093791962,1.353967410326004,1.897793493607715,1.9533620684025983
24000,1.3194610536098481,1.3504562735557557,1.9035799186890545,1.948296568796278
24200,1.311965012550354,1.3439764499664306,1.8927654174262223,1.9389481594381235
24400,1.3079201102256774,1.3411215782165526,1.8869298569015314,1.9348294501222005
24600,1.3136413753032685,1.3474757432937623,1.8951838976565831,1.9439965725680808
24800,1.3101012229919433,1.3488594532012939,1.8900765374730426,1.9459928439897056
25000,1.3130308628082275,1.3448487997055054,1.8943031143075866,1.9402066940806075
25200,1.3104630053043365,1.3348757684230805,1.8905984790210135,1.9258186513068227
25400,1.3086878299713134,1.3462367117404939,1.8880374423713528,1.9422090278906754
25600,1.310246741771698,1.3431119799613953,1.8902864766949512,1.9377009928488618
25800,1.3070121884346009,1.3444327056407928,1.8856200026360301,1.9396063972369033
26000,1.3057540953159332,1.3408123254776,1.8838049579327518,1.9343832927293325
26200,1.303301566839218,1.336907869577408,1.8802667072617558,1.9287503535647557
26400,1.3075643002986908,1.3423486173152923,1.8864165316843686,1.9365996933449292
26600,1.2968656599521637,1.3358572363853454,1.8709816563121795,1.9272346102687736
26800,1.3011142194271088,1.3430603265762329,1.8771110319976045,1.937626472766243
27000,1.2945364117622375,1.3344070494174958,1.8676212614995733,1.9251424327218951
27200,1.3023210048675538,1.3363232254981994,1.8788520553679515,1.9279068904509962
27400,1.3049947559833526,1.3435425758361816,1.8827094628432857,1.9383222113820433
27600,1.2960931599140166,1.3369216859340667,1.8698671743380582,1.9287702863539904
27800,1.2978209614753724,1.3364861130714416,1.8723598650822662,1.9281418875451353
28000,1.296963733434677,1.3402577757835388,1.871123146439044,1.9335832466357836
28200,1.2865994691848754,1.3420087158679963,1.8561706738033925,1.9361093192125243
28400,1.292257583141327,1.3315564274787903,1.8643336067491498,1.9210298545874755
28600,1.2926761388778687,1.3338588535785676,1.864937455034594,1.9243515533036375
28800,1.2964876770973206,1.328059619665146,1.870436342321956,1.915985027295789
29000,1.2958883345127106,1.3394068360328675,1.8695716737473458,1.932355600077395
26200,1.3326942682266236,1.3517377972602844,1.922671411791696,1.9501454166895835
26400,1.3206789433956145,1.3658900678157806,1.9053369622433292,1.9705628272373166
26600,1.3298530280590057,1.3461335837841033,1.9185723686918992,1.9420602456994138
26800,1.3235504865646361,1.3478021800518036,1.9094797233329752,1.9444675212600708
27000,1.327518254518509,1.355087834596634,1.9152040024834256,1.9549784989415278
27200,1.3123303294181823,1.3552860140800476,1.8932924582597914,1.9552644114994546
27400,1.3180778086185456,1.3533822655677796,1.901584317999768,1.9525178829617058
27600,1.3172615885734558,1.3472363233566285,1.9004067613884428,1.9436511626120878
27800,1.3143741011619567,1.3534153163433076,1.8962409976192438,1.9525655651516576
28000,1.313652902841568,1.3595947682857514,1.8952005283789215,1.961480629824433
28200,1.3170197784900666,1.3458109378814698,1.9000579031803002,1.9415947660557213
28400,1.3140196204185486,1.3462639808654786,1.8957295900086382,1.9422483689220604
28600,1.3154886186122894,1.3534826993942262,1.8978489064178228,1.9526627783450576
28800,1.313599455356598,1.3492082417011262,1.8951234199574072,1.9464960394287327
29000,1.3126903593540191,1.3530471444129943,1.8938118716627947,1.9520344053336
29200,1.3176453709602356,1.3546099245548249,1.9009604423346305,1.9542890204942187
29400,1.3154013514518739,1.3465663552284242,1.8977230065182589,1.942684602915974
29600,1.3098618507385253,1.3472232162952422,1.8897311963101102,1.9436322531196253
29800,1.2993806183338166,1.355959403514862,1.874609974297432,1.9562359070976485
